experiment	ndata	measured $\xi_{1\sigma}$	estimated $\xi_{1\sigma} \,$ from bias/variance
NMC	325	0.8594871794871796	0.8608436901812617
SLAC	67	0.9238805970149255	0.9276802251838705
BCDMS	581	0.8930579460699942	0.8834743340667044
CHORUS	832	0.8656650641025643	0.8858958457042868
NTVDMN	76	0.8881578947368425	0.8800048228025031
HERACOMB	1145	0.6878893740902475	0.7182209292125139
HERAF2CHARM	37	0.3225225225225225	0.45927208629393657
F2BOTTOM	29	0.5367816091954023	0.6228039894598953
DYE886	104	0.8932692307692308	0.8849877915308646
DYE605	85	0.7905882352941177	0.7278946792480203
CDF	105	0.7593650793650795	0.8182678881239993
D0	45	0.7755555555555556	0.8085473953941237
ATLAS	360	0.7374074074074075	0.8017986598981492
CMS	409	0.789079054604727	0.8087202292412405
LHCb	85	0.7521568627450981	0.8286030243502855
Total	4285	0.7910929599377675	0.8233488150473944
