experiment	ndata	estimated $\xi_{1\sigma} \,$ from bias/variance
NMC	325.0	0.8608436901812617
SLAC	67.0	0.9276802251838705
BCDMS	581.0	0.8834743340667044
CHORUS	832.0	0.8858958457042868
NTVDMN	76.0	0.8800048228025031
HERACOMB	1145.0	0.7182209292125139
HERAF2CHARM	37.0	0.45927208629393657
F2BOTTOM	29.0	0.6228039894598953
DYE886	104.0	0.8849877915308646
DYE605	85.0	0.7278946792480203
CDF	105.0	0.8182678881239993
D0	45.0	0.8085473953941237
ATLAS	360.0	0.8017986598981492
CMS	409.0	0.8087202292412405
LHCb	85.0	0.8286030243502855
Total	4285.0	0.8233488150473944
