experiment	ndata	measured $\xi_{1\sigma}$
NMC	325	0.8594871794871796
SLAC	67	0.9238805970149255
BCDMS	581	0.8930579460699942
CHORUS	832	0.8656650641025643
NTVDMN	76	0.8881578947368425
HERACOMB	1145	0.6878893740902475
HERAF2CHARM	37	0.3225225225225225
F2BOTTOM	29	0.5367816091954023
DYE886	104	0.8932692307692308
DYE605	85	0.7905882352941177
CDF	105	0.7593650793650795
D0	45	0.7755555555555556
ATLAS	360	0.7374074074074075
CMS	409	0.789079054604727
LHCb	85	0.7521568627450981
Total	4285	0.7910929599377675
